key,value,is_printable,is_searchable,info
document-type:index-card,Index Card (Document Type),True,True,Individual index cards containing structured or semi-structured entries.
document-type:minutes,Minutes (Document Type),True,True,Pages containing meeting minutes or protocol records.
document-type:directory-page,Directory Page (Document Type),True,True,"Pages from directories or registers listing people, companies, or institutions."
document-type:ledger-page,Ledger Page (Document Type),True,True,Pages from accounting or bookkeeping ledgers.
document-type:book-page,Book Page (Document Type),True,True,Pages from books or monographs.
document-type:newspaper-page,Newspaper Page (Document Type),True,True,Pages from newspapers or periodicals.
document-type:letter,Letter (Document Type),True,True,Letters or other personal and professional correspondence.
document-type:manuscript,Manuscript (Document Type),True,True,"Handwritten manuscript pages, including medieval and early modern codices."
entry-type:bibliographic,Bibliographic (Entry Type),True,True,"Entries describing bibliographic items such as books, articles, or publications."
entry-type:company,Company (Entry Type),True,True,"Entries describing companies, businesses, or commercial entities."
entry-type:person,Person (Entry Type),True,True,Entries describing individual persons.
entry-type:location,Location (Entry Type),True,True,"Entries describing geographic locations such as cities, regions, or countries."
internal:test,Test (Internal),False,False,Benchmark used for testing purposes only. Not displayed in the public interface.
internal:featured,Featured (Internal),False,False,Benchmark highlighted as a featured example in the interface.
language:de,German (Language),True,True,
language:en,English (Language),True,True,
language:fr,French (Language),True,True,
language:it,Italian (Language),True,True,
language:la,Latin (Language),True,True,
language:ar,Arabic (Language),True,True,
layout:prose,Prose (Layout),True,True,Continuous running text without strong structural segmentation.
layout:columns,Columns (Layout),True,True,"Text arranged in multiple vertical columns, typical for newspapers."
layout:list,List (Layout),True,True,Entries arranged in a vertical list of discrete items.
layout:table,Table (Layout),True,True,Tabular structure with rows and columns.
layout:form,Form (Layout),True,True,Structured form with predefined fields to be filled.
layout:index,Index (Layout),True,True,Alphabetically or systematically ordered entries with references.
layout:directory,Directory (Layout),True,True,"Structured listings of people, organizations, or places, often repeating entry patterns."
script:latin,Latin (Script),True,True,Latin script used for most European languages.
script:arabic,Arabic (Script),True,True,Arabic script used for Arabic and several other languages.
script-style:fraktur,Fraktur (Script Style),True,True,"Group of typefaces based on Gothic bastarda script, especially common for Germanic-language printing."
script-style:antiqua,Antiqua (Script Style),True,True,
script-style:kurrent,Kurrent (Script Style),True,True,
script-style:suetterlin,Suetterlin (Script Style),True,True,
script-style:italic,Italic (Script Style),True,True,
task:transcription,Transcription (Task),True,True,Conversion of textual content in document images into machine-readable text.
task:information-extraction,Information Extraction (Task),True,True,"Extraction of structured information such as persons, companies, locations, or other entities from document content."
task:document-understanding,Document Understanding (Task),True,True,"Identification or classification of structural elements such as advertisements, signatures, or layout regions."
task:entity-linking,Entity Linking (Task),True,True,Linking extracted entities to external authority records or knowledge bases.
task:data-correction,Data Correction (Task),True,True,"Correction or normalization of structured data such as XML, JSON, or tabular records."
writing:printed,Printed (Writing),True,True,"Text produced through a printing process (e.g. books, pamphlets, newspapers)."
writing:typed,Typed (Writing),True,True,Text produced using a typewriter or similar mechanical typing device.
writing:handwritten,Handwritten (Writing),True,True,Text written by hand.
