key,value,is_printable,is_searchable,info
anthea_alberto,Anthea Alberto,True,True,"ORCID: 0009-0007-0430-0050, GitHub: @antheajeanne"
elena_spadini,Elena Spadini,True,True,"ORCID: 0000-0002-4522-2833, GitHub: @elespdn"
eric_decker,Eric Decker,True,True,"ORCID: 0000-0003-3035-2413, GitHub: @edecker"
gabriel_muller,Gabriel Müller,True,True,"ORCID: 0000-0001-8320-5148, GitHub: @gbmllr1"
ina_serif,Ina Serif,True,True,"ORCID: 0000-0003-2419-4252, GitHub: @wissen-ist-acht"
jose_luis_losada_palenzuela,José Luis Losada Palenzuela,True,True,"ORCID: 0000-0002-6530-1328, GitHub: @editio"
lea_kasper,Lea Kasper,True,True,"ORCID: 0000-0002-4671-1700, GitHub: @lekasp"
maximilian_hindermann,Maximilian Hindermann,True,True,"ORCID: 0000-0002-9337-4655, GitHub: @MHindermann"
pema_frick,Pema Frick,True,True,"ORCID: 0000-0002-8733-7161, GitHub: @pwmff"
sorin_marti,Sorin Marti,True,True,"ORCID: 0000-0002-9541-1202, GitHub: @sorinmarti"
sven_burkhardt,Sven Burkhardt,True,True,"ORCID: 0009-0001-4954-4426, GitHub: @Sveburk"
