key,value,is_printable,is_searchable,info
bibliographic-entries,Bibliographic Entries,True,True,
book-pages,Book Pages,True,True,
century-15th,Century 15Th,True,True,
century-18th,Century 18Th,True,True,
century-19th,Century 19Th,True,True,
century-20th,Century 20Th,True,True,
company-entries,Company Entries,True,True,
gothic-typeface,Gothic Typeface,True,True,
handwritten-source,Handwritten Source,True,True,
index-cards,Index Cards,True,True,
language-german,Language German,True,True,
letter-pages,Letter Pages,True,True,
list-like,List Like,True,True,
manuscript-pages,Manuscript Pages,True,True,
medieval-script,Medieval Script,True,True,
ner-entries,Ner Entries,True,True,
printed-source,Printed Source,True,True,
test-benchmark,Test Benchmark,True,True,
text-like,Text Like,True,True,
typed-source,Typed Source,True,True,
